ia_id,ia_name,district,state
IA001,Zilla Parishad - Nagpur,Nagpur,Maharashtra
IA002,Zilla Parishad - Malda,Malda,West Bengal
IA003,Municipal Corp - Pune,Pune,Maharashtra
IA004,PWD Division - Gorakhpur,Gorakhpur,Uttar Pradesh
IA005,Zilla Parishad - Meerut,Meerut,Uttar Pradesh
IA006,PWD Division - Salem,Salem,Tamil Nadu
IA007,Municipal Corp - Malda,Malda,West Bengal
IA008,Rural Devt Agency - Gorakhpur,Gorakhpur,Uttar Pradesh
IA009,Zilla Parishad - Howrah,Howrah,West Bengal
IA010,PWD Division - Sitapur,Sitapur,Uttar Pradesh
IA011,Municipal Corp - Gaya,Gaya,Bihar
IA012,Rural Devt Agency - Howrah,Howrah,West Bengal
IA013,Zilla Parishad - Howrah,Howrah,West Bengal
IA014,Municipal Corp - Malda,Malda,West Bengal
IA015,Rural Devt Agency - Coimbatore,Coimbatore,Tamil Nadu
IA016,Rural Devt Agency - Nagpur,Nagpur,Maharashtra
IA017,PWD Division - Sitapur,Sitapur,Uttar Pradesh
IA018,Municipal Corp - Meerut,Meerut,Uttar Pradesh
IA019,Zilla Parishad - Malda,Malda,West Bengal
IA020,PWD Division - Howrah,Howrah,West Bengal
IA021,Zilla Parishad - Malda,Malda,West Bengal
IA022,PWD Division - Howrah,Howrah,West Bengal
IA023,Zilla Parishad - Patna,Patna,Bihar
IA024,PWD Division - Coimbatore,Coimbatore,Tamil Nadu
IA025,Rural Devt Agency - Gaya,Gaya,Bihar
IA026,PWD Division - Gorakhpur,Gorakhpur,Uttar Pradesh
IA027,Zilla Parishad - Nashik,Nashik,Maharashtra
IA028,Zilla Parishad - Malda,Malda,West Bengal
IA029,Zilla Parishad - Sitapur,Sitapur,Uttar Pradesh
IA030,Zilla Parishad - Malda,Malda,West Bengal
IA031,Municipal Corp - Madurai,Madurai,Tamil Nadu
IA032,Rural Devt Agency - Muzaffarpur,Muzaffarpur,Bihar
IA033,Municipal Corp - Sitapur,Sitapur,Uttar Pradesh
IA034,Rural Devt Agency - Nagpur,Nagpur,Maharashtra
IA035,Municipal Corp - Nagpur,Nagpur,Maharashtra
IA036,Zilla Parishad - Gaya,Gaya,Bihar
IA037,Zilla Parishad - Howrah,Howrah,West Bengal
IA038,Zilla Parishad - Nashik,Nashik,Maharashtra
IA039,Rural Devt Agency - Gorakhpur,Gorakhpur,Uttar Pradesh
IA040,PWD Division - Meerut,Meerut,Uttar Pradesh
IA041,Rural Devt Agency - Malda,Malda,West Bengal
IA042,Zilla Parishad - Gaya,Gaya,Bihar
IA043,Zilla Parishad - Malda,Malda,West Bengal
IA044,PWD Division - Madurai,Madurai,Tamil Nadu
IA045,Municipal Corp - Howrah,Howrah,West Bengal
IA046,Rural Devt Agency - Gorakhpur,Gorakhpur,Uttar Pradesh
IA047,Rural Devt Agency - Meerut,Meerut,Uttar Pradesh
IA048,Municipal Corp - Nashik,Nashik,Maharashtra
IA049,Municipal Corp - Gaya,Gaya,Bihar
IA050,Municipal Corp - Malda,Malda,West Bengal
IA051,Municipal Corp - Malda,Malda,West Bengal
IA052,PWD Division - Gorakhpur,Gorakhpur,Uttar Pradesh
IA053,Rural Devt Agency - Gorakhpur,Gorakhpur,Uttar Pradesh
IA054,Zilla Parishad - Gorakhpur,Gorakhpur,Uttar Pradesh
IA055,Zilla Parishad - Coimbatore,Coimbatore,Tamil Nadu
IA056,PWD Division - Howrah,Howrah,West Bengal
IA057,PWD Division - Varanasi,Varanasi,Uttar Pradesh
IA058,Municipal Corp - Howrah,Howrah,West Bengal
IA059,Rural Devt Agency - Salem,Salem,Tamil Nadu
IA060,Zilla Parishad - Gorakhpur,Gorakhpur,Uttar Pradesh
