mp_id,mp_name,house,state,primary_district,annual_entitlement
MP001,Rajesh Mishra,Lok Sabha,West Bengal,Malda,50000000
MP002,Suresh Reddy,Lok Sabha,West Bengal,Howrah,50000000
MP003,Arun Reddy,Lok Sabha,Bihar,Patna,50000000
MP004,Pooja Reddy,Rajya Sabha,Bihar,Muzaffarpur,50000000
MP005,Suresh Patel,Rajya Sabha,Tamil Nadu,Salem,50000000
MP006,Meena Singh,Lok Sabha,Bihar,Muzaffarpur,50000000
MP007,Kavita Verma,Lok Sabha,Maharashtra,Nagpur,50000000
MP008,Meena Das,Lok Sabha,West Bengal,Howrah,50000000
MP009,Priya Das,Lok Sabha,Bihar,Muzaffarpur,50000000
MP010,Ramesh Verma,Lok Sabha,Bihar,Gaya,50000000
MP011,Arun Reddy,Lok Sabha,Bihar,Muzaffarpur,50000000
MP012,Kavita Iyer,Lok Sabha,Uttar Pradesh,Varanasi,50000000
MP013,Meena Patel,Lok Sabha,Uttar Pradesh,Gorakhpur,50000000
MP014,Pooja Yadav,Lok Sabha,Maharashtra,Pune,50000000
MP015,Ramesh Yadav,Lok Sabha,West Bengal,Malda,50000000
MP016,Sanjay Patel,Lok Sabha,West Bengal,Howrah,50000000
MP017,Manoj Das,Lok Sabha,Uttar Pradesh,Gorakhpur,50000000
MP018,Rajesh Das,Lok Sabha,Bihar,Gaya,50000000
MP019,Suresh Verma,Lok Sabha,Maharashtra,Nashik,50000000
MP020,Deepak Verma,Lok Sabha,Tamil Nadu,Coimbatore,50000000
MP021,Sunita Nair,Lok Sabha,West Bengal,Howrah,50000000
MP022,Priya Patel,Lok Sabha,Uttar Pradesh,Meerut,50000000
MP023,Pooja Verma,Lok Sabha,Tamil Nadu,Coimbatore,50000000
MP024,Rajesh Kumar,Lok Sabha,Maharashtra,Nagpur,50000000
MP025,Deepak Mishra,Rajya Sabha,Bihar,Patna,50000000
MP026,Meena Reddy,Lok Sabha,Maharashtra,Nagpur,50000000
MP027,Sunita Kumar,Lok Sabha,Uttar Pradesh,Sitapur,50000000
MP028,Deepak Patel,Lok Sabha,Tamil Nadu,Madurai,50000000
MP029,Sunita Kumar,Rajya Sabha,Bihar,Patna,50000000
MP030,Arun Reddy,Lok Sabha,Bihar,Muzaffarpur,50000000
MP031,Suresh Iyer,Lok Sabha,Uttar Pradesh,Gorakhpur,50000000
MP032,Meena Sharma,Lok Sabha,Tamil Nadu,Coimbatore,50000000
MP033,Arun Verma,Lok Sabha,Uttar Pradesh,Meerut,50000000
MP034,Meena Yadav,Rajya Sabha,Uttar Pradesh,Gorakhpur,50000000
MP035,Sunita Singh,Lok Sabha,West Bengal,Malda,50000000
MP036,Anita Mishra,Lok Sabha,Maharashtra,Nashik,50000000
MP037,Ramesh Sharma,Lok Sabha,Bihar,Muzaffarpur,50000000
MP038,Sunita Mishra,Lok Sabha,Tamil Nadu,Coimbatore,50000000
MP039,Meena Patel,Lok Sabha,Bihar,Gaya,50000000
MP040,Meena Reddy,Lok Sabha,Bihar,Gaya,50000000
