payment_id,work_id,stage,amount,payment_date,vendor_id
P000001,W00001,1,542459.82,2023-11-13,V075
P000002,W00001,2,406844.87,2024-01-26,V057
P000003,W00001,3,406844.87,2024-04-26,V002
P000004,W00002,1,255617.7,2024-07-12,V014
P000005,W00002,2,255617.7,2024-09-10,V052
P000006,W00003,1,466053.3,2023-10-31,V070
P000007,W00003,2,349539.97,2023-12-18,V057
P000008,W00003,3,349539.97,2024-02-28,V050
P000009,W00004,1,253827.67,2026-01-09,V050
P000010,W00004,2,253827.67,2026-02-27,V031
P000011,W00005,1,1100950.51,2023-09-23,V075
P000012,W00005,2,1100950.51,2023-10-27,V015
P000013,W00006,1,1699303.3,2025-12-18,V048
P000014,W00006,2,1699303.3,2026-03-12,V060
P000015,W00007,1,628915.99,2024-08-09,V072
P000016,W00007,2,471686.99,2024-10-15,V082
P000017,W00007,3,471686.99,2025-01-02,V055
P000018,W00008,1,881242.65,2025-04-16,V022
P000019,W00008,2,881242.65,2025-08-06,V036
P000020,W00009,1,558950.95,2025-05-23,V011
P000021,W00009,2,558950.95,2025-07-20,V059
P000022,W00010,1,1962522.27,2025-12-28,V084
P000023,W00010,2,1962522.27,2026-03-14,V077
P000024,W00011,1,971894.41,2025-01-16,V056
P000025,W00011,2,971894.41,2025-02-13,V083
P000026,W00012,1,880719.14,2025-07-29,V066
P000027,W00012,2,660539.36,2025-08-30,V084
P000028,W00012,3,660539.36,2025-09-27,V030
P000029,W00013,1,1712645.28,2026-04-25,V025
P000030,W00013,2,1284483.96,2026-08-12,V052
P000031,W00014,1,890493.97,2026-05-17,V045
P000032,W00014,2,667870.48,2026-06-08,V074
P000033,W00014,3,667870.48,2026-07-10,V016
P000034,W00015,1,2514551.87,2024-12-23,V045
P000035,W00015,2,1885913.9,2025-03-31,V072
P000036,W00015,3,1885913.9,2025-07-01,V021
P000037,W00016,1,793567.11,2023-08-23,V051
P000038,W00016,2,793567.11,2023-12-05,V036
P000039,W00017,1,537443.46,2024-02-10,V038
P000040,W00017,2,403082.6,2024-03-06,V021
P000041,W00017,3,403082.6,2024-04-19,V041
P000042,W00018,1,583463.41,2023-12-01,V036
P000043,W00018,2,583463.41,2024-01-16,V087
P000044,W00019,1,550118.01,2024-10-20,V025
P000045,W00019,2,412588.51,2025-01-16,V089
P000046,W00019,3,412588.51,2025-02-26,V051
P000047,W00020,1,639300.88,2024-03-24,V054
P000048,W00020,2,479475.66,2024-05-29,V023
P000049,W00020,3,479475.66,2024-07-23,V057
P000050,W00021,1,994490.5,2024-10-14,V010
P000051,W00021,2,994490.5,2024-12-26,V067
P000052,W00022,1,1731366.35,2023-11-14,V022
P000053,W00022,2,1298524.76,2024-02-13,V018
P000054,W00022,3,1298524.76,2024-04-01,V030
P000055,W00023,1,1037266.58,2024-10-20,V061
P000056,W00023,2,777949.94,2024-12-29,V044
P000057,W00023,3,777949.94,2025-02-23,V077
P000058,W00024,1,647574.39,2025-05-04,V046
P000059,W00024,2,485680.79,2025-07-17,V004
P000060,W00024,3,485680.79,2025-09-07,V027
P000061,W00025,1,681103.83,2026-02-02,V042
P000062,W00025,2,510827.87,2026-04-10,V033
P000063,W00025,3,510827.87,2026-06-11,V089
P000064,W00026,1,4085716.96,2023-12-08,V063
P000065,W00026,2,4085716.96,2024-03-16,V020
P000066,W00027,1,490702.76,2025-06-24,V072
P000067,W00027,2,490702.76,2025-09-01,V030
P000068,W00028,1,410359.14,2024-08-21,V079
P000069,W00028,2,307769.36,2024-09-18,V085
P000070,W00028,3,307769.36,2024-10-25,V045
P000071,W00029,1,771253.99,2025-02-09,V054
P000072,W00029,2,771253.99,2025-06-02,V060
P000073,W00030,1,1880273.96,2025-07-14,V071
P000074,W00030,2,1880273.96,2025-11-11,V036
P000075,W00031,1,1704184.95,2024-12-03,V078
P000076,W00031,2,1704184.95,2025-04-07,V022
P000077,W00032,1,2454337.62,2025-10-30,V022
P000078,W00032,2,1840753.21,2025-12-26,V039
P000079,W00032,3,1840753.21,2026-03-09,V041
P000080,W00033,1,481666.06,2024-05-21,V057
P000081,W00033,2,361249.54,2024-07-16,V046
P000082,W00033,3,361249.54,2024-09-29,V061
P000083,W00034,1,1198853.37,2025-09-14,V062
P000084,W00034,2,899140.03,2025-11-23,V063
P000085,W00034,3,899140.03,2026-03-03,V029
P000086,W00035,1,2957863.5,2024-02-01,V039
P000087,W00035,2,2957863.5,2024-06-29,V059
P000088,W00036,1,342385.57,2025-01-07,V082
P000089,W00036,2,342385.57,2025-03-02,V004
P000090,W00037,1,1510952.39,2025-03-21,V034
P000091,W00037,2,1133214.29,2025-05-27,V066
P000092,W00037,3,1133214.29,2025-08-28,V076
P000093,W00038,1,920394.78,2024-09-11,V073
P000094,W00038,2,920394.78,2024-10-28,V006
P000095,W00039,1,623518.81,2025-09-01,V087
P000096,W00039,2,467639.11,2025-11-15,V065
P000097,W00039,3,467639.11,2026-02-02,V011
P000098,W00040,1,751852.77,2025-04-05,V079
P000099,W00040,2,751852.77,2025-05-28,V022
P000100,W00041,1,913285.72,2023-12-17,V018
P000101,W00041,2,913285.72,2024-02-24,V017
P000102,W00042,1,434442.73,2024-03-14,V019
P000103,W00042,2,434442.73,2024-05-29,V085
P000104,W00043,1,524886.86,2026-04-07,V044
P000105,W00043,2,524886.86,2026-06-21,V002
P000106,W00044,1,2276520.47,2023-10-24,V014
P000107,W00044,2,2276520.47,2024-02-22,V010
P000108,W00045,1,863897.78,2024-10-11,V017
P000109,W00045,2,647923.33,2024-11-14,V062
P000110,W00045,3,647923.33,2024-12-20,V025
P000111,W00046,1,285796.44,2026-04-30,V017
P000112,W00046,2,214347.33,2026-07-07,V081
P000113,W00046,3,214347.33,2026-08-03,V073
P000114,W00047,1,348912.98,2023-11-05,V032
P000115,W00047,2,261684.73,2023-12-04,V020
P000116,W00047,3,261684.73,2024-02-01,V015
P000117,W00048,1,1220329.45,2023-06-28,V025
P000118,W00048,2,915247.09,2023-08-30,V025
P000119,W00048,3,915247.09,2023-12-27,V071
P000120,W00049,1,736926.73,2024-05-20,V055
P000121,W00049,2,736926.73,2024-09-27,V008
P000122,W00050,1,1242816.34,2023-08-27,V054
P000123,W00050,2,1242816.34,2023-12-30,V073
P000124,W00051,1,764577.77,2025-07-21,V047
