photo_id,work_id,upload_date,geotag_lat,geotag_lon,phash
PH000001,W00001,2024-02-03,26.40318,84.50049,59e2d000271b61ad
PH000002,W00002,2024-09-23,27.77412,83.2847,e055995f46905e97
PH000003,W00003,2024-03-18,24.68919,85.22061,4858212351446d91
PH000004,W00004,2026-02-02,29.53811,86.15228,707d8eea476d20fd
PH000005,W00005,2023-10-30,17.00393,79.24749,30995eb4c2c595e1
PH000006,W00006,2026-04-19,17.20888,82.92023,0f321ce3df5a817c
PH000007,W00007,2025-03-21,24.79078,85.28686,502429f8e9a5e80f
PH000008,W00008,2025-05-29,27.35646,82.17679,53e077ccff9f95af
PH000009,W00009,2025-07-09,27.77128,83.29328,55fed316a206a9bf
PH000010,W00010,2026-05-22,27.45127,82.00444,5a1a11323b7d100c
PH000011,W00011,2025-01-21,22.12821,72.58536,44d54905a2de9cd8
PH000012,W00012,2025-09-28,16.3443,87.56767,b4a1af5b19493958
PH000013,W00014,2026-08-20,27.45867,81.99419,b8e9e1fe59681fa8
PH000014,W00015,2025-07-22,21.5904,75.76333,f33f5df80331de81
PH000015,W00016,2023-10-28,26.48962,77.52992,4fb8d3d20cfb9a93
PH000016,W00017,2024-03-19,23.18609,73.04797,104a74acda250f06
PH000017,W00018,2024-01-01,27.51736,81.96722,ee040a4b3cb6c6a6
PH000018,W00020,2024-06-20,16.79779,79.11518,746e94644b850a9a
PH000019,W00022,2024-05-20,17.25465,82.90908,0e70de1b51441f65
PH000020,W00023,2025-06-02,16.89778,79.19921,02d693164bf308c1
PH000021,W00024,2025-09-27,27.42874,82.08542,ac6fe9342a8245b3
PH000022,W00025,2026-05-05,27.50752,82.0528,643f4259225b44f4
PH000023,W00026,2024-03-22,16.35587,87.68072,26b854d2014c52b7
PH000024,W00027,2025-08-23,22.14827,72.78449,49328e26e2610109
PH000025,W00029,2025-06-14,27.29087,82.18431,d33cc8912f037631
PH000026,W00030,2025-06-18,27.40833,82.13404,1bb769cb3bc8a139
PH000027,W00031,2025-05-07,21.96339,72.71311,0553c290b498f63d
PH000028,W00032,2026-01-30,16.52174,87.55954,58cbba272cedba13
PH000029,W00033,2024-07-23,21.98663,72.64112,e98fdff6a071baf3
PH000030,W00035,2024-06-26,17.45736,83.0754,469b569063291134
PH000031,W00036,2025-03-06,23.31189,73.16548,5d4ede9b1615f6cc
PH000032,W00037,2025-06-26,17.2753,82.79243,e7477659cae12031
PH000033,W00038,2024-10-12,21.57106,75.67135,b8173791d8cf322a
PH000034,W00040,2025-04-18,27.29263,82.06173,567c60cf2240159d
PH000035,W00041,2024-03-06,16.5343,87.60915,ccb38a35ab815092
PH000036,W00042,2024-06-02,21.62743,75.772,bf312e190144c4f6
PH000037,W00043,2026-07-10,29.63408,86.32004,968ac256e8dd24d4
PH000038,W00045,2024-12-21,24.70566,85.30349,de39c4317b5c8df6
PH000039,W00047,2024-02-10,27.81818,83.12621,85abccb810181e4b
PH000040,W00048,2024-02-14,26.71013,78.95068,d5e83cb9eb43e59b
PH000041,W00049,2024-09-10,27.40339,82.17199,ab05dbe780ee46d0
PH000042,W00050,2023-11-15,26.29642,77.69454,842157dc1b5311a7
PH000043,W00052,2024-02-20,23.26237,72.89183,eeccc38c02b4e2e1
PH000044,W00053,2024-01-22,23.43685,73.05225,a88dc06649cf53c8
PH000045,W00054,2024-04-25,25.836170236579587,77.83311309326663,afca4f048f2304f2
PH000046,W00055,2024-12-05,21.75624,75.49223,c478002bf1b666cc
PH000047,W00057,2024-12-31,17.43154,82.89496,c8c4c52145e7b5ad
PH000048,W00058,2025-03-21,26.33505,77.67888,60c56a389bc2f687
PH000049,W00059,2025-10-17,23.19977,72.93106,a648bcca4110e28f
PH000050,W00061,2024-10-29,16.97696,79.15681,842098959dbe451f
PH000051,W00062,2025-07-10,29.55435,86.21952,099c6878d677bae1
PH000052,W00064,2024-09-04,23.35278,73.03147,f1955109b678b650
PH000053,W00065,2026-08-21,17.28632,83.00581,93b63e40e57a8cdd
PH000054,W00066,2024-11-17,17.28753,82.91149,14158eecc539a29a
PH000055,W00067,2025-10-20,20.45836,86.96054,9aa0d6e52a590953
PH000056,W00070,2025-07-13,16.9118,79.10705,58948bac4bec55a8
PH000057,W00071,2024-04-03,24.78632,85.1433,2f570d58355dc781
PH000058,W00072,2025-12-27,21.96561,72.82826,f227fd1f1cf82855
PH000059,W00073,2025-10-13,27.31688,82.16269,482ecb65ef76072e
PH000060,W00074,2026-08-09,27.3558,82.23689,136112877dea6a10
PH000061,W00075,2025-07-01,16.96378,79.15756,54406fbdb62e6942
PH000062,W00077,2026-05-05,29.68448,86.19855,9655b109172b58d1
PH000063,W00079,2024-12-24,27.41176,82.14359,f9e2473490235447
PH000064,W00080,2024-02-10,26.66999,75.10188,fc966865399bea4a
PH000065,W00081,2024-06-27,23.42989,72.9219,55cb6964ecf7e209
PH000066,W00082,2025-06-12,21.79915,75.54657,d2b108f77584224b
PH000067,W00083,2026-07-23,17.42938,82.97939,2d1736e91ba60456
PH000068,W00084,2025-03-02,29.7091,86.29502,00afb35f71d8e001
PH000069,W00085,2024-03-27,22.08544,72.80118,d387e3d629c8ca04
PH000070,W00086,2026-02-22,17.42963,82.80664,93ed3cf899f0cf19
PH000071,W00088,2025-07-05,24.58414,85.24061,cf0ef42f218b02da
PH000072,W00089,2026-01-03,23.22004,72.92066,4c2cc7410178277c
PH000073,W00090,2026-07-02,27.55789,82.21824,67378fae72d2d3d8
PH000074,W00091,2025-10-04,23.17651,72.88698,71fe40744c28f0c9
PH000075,W00092,2024-11-06,16.34523,87.61626,67c071276d0c12a3
PH000076,W00094,2024-04-26,27.7565,83.06872,093951902d3e8eae
PH000077,W00097,2024-05-12,23.46356,73.02096,082db714f096e37f
PH000078,W00098,2024-04-07,29.5862,86.24593,58385aac78a23841
PH000079,W00099,2026-05-17,17.30409,82.97599,8fe1500a41bf662e
PH000080,W00100,2025-04-09,17.33461,83.00722,0616fe556efb6781
PH000081,W00101,2025-11-09,26.39436,77.52569,2b1ceac3e5b4b936
PH000082,W00104,2025-05-29,16.55762,87.6427,2f911c119893a3da
PH000083,W00105,2024-05-09,26.52502,84.43225,1ae41de2d37896e4
PH000084,W00106,2024-03-19,20.54869,86.83424,c9ef999df508f02e
PH000085,W00108,2024-02-27,27.55234,81.96903,5a9ba71568ed48dc
PH000086,W00109,2026-06-14,24.5553,85.1733,68aa2a33a8c14361
PH000087,W00112,2025-02-10,29.43881,86.16675,77f45063ebce0fe1
PH000088,W00113,2026-03-14,23.32282,73.15062,8570b059842e02f8
