work_id,mp_id,state,district,ia_id,category,sanctioned_amount,status,cost_anomaly_score,cost_anomaly_reason,dup_score,dup_reason,structuring_score,structuring_reason,execution_risk_score,execution_risk_reason,image_forensics_score,image_forensics_reason,network_score,network_reason,rule_score,rule_reason,corroboration_count,composite_risk_score,risk_tier,delay_risk_score,delay_tier,risk_explanation
W00054,MP027,Uttar Pradesh,Sitapur,IA029,Street Lighting (per 50 units),1272595.6,Completed,0.4173255459226619,,0.0,,0.0,,0.0,,1.0,completion photo GPS tag is 149.8km from the sanctioned work location,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,3,100.0,Critical,0.0,On Track,"completion photo GPS tag is 149.8km from the sanctioned work location || 3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring"
W00265,MP039,Bihar,Gaya,IA025,Public Toilet Complex,2263701.26,Completed,1.0,cost is 15.3x the typical spread for 'Public Toilet Complex' works in Bihar (peer-group check),0.0,,0.0,,0.0,,1.0,"identical photo (hash 755f17f4eb8b0119) also submitted as completion evidence for 2 other unrelated work(s): W00265, W01115",0.0,,0.5,[R1] sanctioned amount deviates 176% from MP-recommended amount without documented justification; ,3,100.0,Critical,0.0,On Track,"cost is 15.3x the typical spread for 'Public Toilet Complex' works in Bihar (peer-group check) || identical photo (hash 755f17f4eb8b0119) also submitted as completion evidence for 2 other unrelated work(s): W00265, W01115 || [R1] sanctioned amount deviates 176% from MP-recommended amount without documented justification; "
W00930,MP031,Uttar Pradesh,Sitapur,IA029,Health Sub-Centre Upgrade,3704758.75,In Progress,1.0,"cost is 9.8x the typical spread for 'Health Sub-Centre Upgrade' works in Uttar Pradesh (peer-group check); ML model predicted ~₹1,699,543 for a work of this type/scale/location, actual sanctioned amount is ₹3,704,759 (118% above prediction)",0.0,,0.0,,1.0,"sanctioned 849 days ago but expected duration was only 210 days (4.0x overdue), still marked 'In Progress' | 100% of sanctioned funds already disbursed, but work is still marked 'In Progress' -- payment has outpaced physical progress",0.0,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.5,[R1] sanctioned amount deviates 199% from MP-recommended amount without documented justification; ,3,100.0,Critical,100.0,Severely Stalled,"cost is 9.8x the typical spread for 'Health Sub-Centre Upgrade' works in Uttar Pradesh (peer-group check); ML model predicted ~₹1,699,543 for a work of this type/scale/location, actual sanctioned amount is ₹3,704,759 (118% above prediction) || 3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring || [R1] sanctioned amount deviates 199% from MP-recommended amount without documented justification; "
W01105,MP028,Tamil Nadu,Madurai,IA031,Drainage / Sewage Line (per km),4649439.59,Completed,0.5671312550644657,,0.8773180522456263,"description + location closely match work W01401 (text similarity 0.75, 114m apart) -- possible duplicate/phantom billing",0.8,"2 payments totalling ₹1,800,848 were each made just under the ₹1,000,000 approval threshold, within 2 days of each other -- consistent with structuring to avoid extra review",0.0,,0.06666030304312998,,0.0,,0.0,,3,98.6,Critical,0.0,On Track,"description + location closely match work W01401 (text similarity 0.75, 114m apart) -- possible duplicate/phantom billing || 2 payments totalling ₹1,800,848 were each made just under the ₹1,000,000 approval threshold, within 2 days of each other -- consistent with structuring to avoid extra review"
W00578,MP029,Bihar,Patna,IA023,Street Lighting (per 50 units),9610594.25,Completed,1.0,"cost is 23.5x the typical spread for 'Street Lighting (per 50 units)' works in Bihar (peer-group check); ML model predicted ~₹6,400,875 for a work of this type/scale/location, actual sanctioned amount is ₹9,610,594 (50% above prediction)",0.0,,0.0,,0.0,,0.016732651017658605,,0.0,,0.5,[R1] sanctioned amount deviates 256% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 23.5x the typical spread for 'Street Lighting (per 50 units)' works in Bihar (peer-group check); ML model predicted ~₹6,400,875 for a work of this type/scale/location, actual sanctioned amount is ₹9,610,594 (50% above prediction) || [R1] sanctioned amount deviates 256% from MP-recommended amount without documented justification; "
W00417,MP008,West Bengal,Malda,IA019,Health Sub-Centre Upgrade,5041709.8,Completed,1.0,"cost is 11.2x the typical spread for 'Health Sub-Centre Upgrade' works in West Bengal (peer-group check); ML model predicted ~₹1,833,330 for a work of this type/scale/location, actual sanctioned amount is ₹5,041,710 (175% above prediction)",0.0,,0.0,,0.0,,0.00913042049591341,,0.0,,0.5,[R1] sanctioned amount deviates 188% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 11.2x the typical spread for 'Health Sub-Centre Upgrade' works in West Bengal (peer-group check); ML model predicted ~₹1,833,330 for a work of this type/scale/location, actual sanctioned amount is ₹5,041,710 (175% above prediction) || [R1] sanctioned amount deviates 188% from MP-recommended amount without documented justification; "
W00636,MP031,Uttar Pradesh,Gorakhpur,IA054,Street Lighting (per 50 units),4804526.36,Completed,1.0,"cost is 22.6x the typical spread for 'Street Lighting (per 50 units)' works in Uttar Pradesh (peer-group check); ML model predicted ~₹1,792,200 for a work of this type/scale/location, actual sanctioned amount is ₹4,804,526 (168% above prediction)",0.0,,0.0,,0.0,,0.04925618980568683,,0.0,,0.5,[R1] sanctioned amount deviates 283% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 22.6x the typical spread for 'Street Lighting (per 50 units)' works in Uttar Pradesh (peer-group check); ML model predicted ~₹1,792,200 for a work of this type/scale/location, actual sanctioned amount is ₹4,804,526 (168% above prediction) || [R1] sanctioned amount deviates 283% from MP-recommended amount without documented justification; "
W00616,MP032,Tamil Nadu,Coimbatore,IA024,Drinking Water Facility,5581639.59,Completed,1.0,"cost is 17.6x the typical spread for 'Drinking Water Facility' works in Tamil Nadu (peer-group check); ML model predicted ~₹2,765,025 for a work of this type/scale/location, actual sanctioned amount is ₹5,581,640 (102% above prediction)",0.0,,0.0,,0.0,,0.04412007239647764,,0.0,,0.5,[R1] sanctioned amount deviates 164% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 17.6x the typical spread for 'Drinking Water Facility' works in Tamil Nadu (peer-group check); ML model predicted ~₹2,765,025 for a work of this type/scale/location, actual sanctioned amount is ₹5,581,640 (102% above prediction) || [R1] sanctioned amount deviates 164% from MP-recommended amount without documented justification; "
W00740,MP020,Tamil Nadu,Madurai,IA031,Street Lighting (per 50 units),4223139.6,Completed,1.0,"cost is 10.4x the typical spread for 'Street Lighting (per 50 units)' works in Tamil Nadu (peer-group check); ML model predicted ~₹2,486,448 for a work of this type/scale/location, actual sanctioned amount is ₹4,223,140 (70% above prediction)",0.0,,0.0,,0.0,,0.07786808915031092,,0.0,,0.5,[R1] sanctioned amount deviates 163% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 10.4x the typical spread for 'Street Lighting (per 50 units)' works in Tamil Nadu (peer-group check); ML model predicted ~₹2,486,448 for a work of this type/scale/location, actual sanctioned amount is ₹4,223,140 (70% above prediction) || [R1] sanctioned amount deviates 163% from MP-recommended amount without documented justification; "
W00032,MP034,Uttar Pradesh,Gorakhpur,IA060,Health Sub-Centre Upgrade,6135844.04,Completed,1.0,"cost is 21.3x the typical spread for 'Health Sub-Centre Upgrade' works in Uttar Pradesh (peer-group check); ML model predicted ~₹1,707,196 for a work of this type/scale/location, actual sanctioned amount is ₹6,135,844 (259% above prediction)",0.0,,0.0,,0.0,,0.08709813692133478,,0.0,,0.5,[R1] sanctioned amount deviates 288% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 21.3x the typical spread for 'Health Sub-Centre Upgrade' works in Uttar Pradesh (peer-group check); ML model predicted ~₹1,707,196 for a work of this type/scale/location, actual sanctioned amount is ₹6,135,844 (259% above prediction) || [R1] sanctioned amount deviates 288% from MP-recommended amount without documented justification; "
